k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.114787188243602,0.09373283116396415,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.1890412904318046,0.14148269003901956,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.23839978750841187,0.18661404694262354,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.31789195551386223,0.2332789086401768,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.368164729601228,0.280982081541196,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.43112168655493244,0.3281101735926364,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5249969645804428,0.4160394973329742,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6097054679243824,0.48990843105962073,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.689573084383735,0.5561714035980186,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8007165288058816,0.6779445271559595,0.8855239648500733,0.8775517831364841,1.0,1.0
