pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.3381892144827747,0.25131957873133665,0.2517690416852316,0.2617040380655006
mean,select_mode,topk,3,1,140,0.24641097283453064,0.2190850904045353,0.1978177898359501,0.20988603563741798
mean,select_mode,threshold,3,1,140,0.5895055774684947,0.1945768569773243,0.2441044903989971,0.5403883743225677
mean,top_k,topk,1,1,140,0.10559322359317543,0.21968292625980002,0.12262992924815079,0.09307834793467393
mean,top_k,topk,2,1,140,0.17384151348065022,0.21471644967433892,0.16444620790760597,0.1507263378334181
mean,top_k,topk,3,1,140,0.24641097283453064,0.2190850904045353,0.1978177898359501,0.20988603563741798
mean,top_k,topk,5,1,140,0.38540972059296236,0.2381109951229937,0.25530689954944474,0.3085486492226053
mean,context,peak,3,0,140,0.1319180895454442,0.2525309872362312,0.14895330793724026,0.09374586943202351
mean,context,peak,3,1,140,0.3381892144827747,0.25131957873133665,0.2517690416852316,0.2617040380655006
mean,context,peak,3,2,140,0.48374784015870004,0.24657005305376337,0.2860630386195246,0.38101518976656357
max,select_mode,peak,3,1,140,0.3898358954451605,0.2609241185718028,0.265718411127142,0.2587710467655646
max,select_mode,topk,3,1,140,0.2786820978319627,0.23194557216107797,0.21412177895698922,0.2098498853266351
max,select_mode,threshold,3,1,140,0.6913895937900004,0.19344679952603377,0.265133935971253,0.6372875583705921
max,top_k,topk,1,1,140,0.1449888106314367,0.24725077170817522,0.15562756839625286,0.09308049233992095
max,top_k,topk,2,1,140,0.2134309640147602,0.23838887850738044,0.19228398987370765,0.15473282181455467
max,top_k,topk,3,1,140,0.2786820978319627,0.23194557216107797,0.21412177895698922,0.2098498853266351
max,top_k,topk,5,1,140,0.43318433786941485,0.24650676252751366,0.2698765402497887,0.3142809605678956
max,context,peak,3,0,140,0.14577643492332376,0.26978061306846074,0.16342665682012297,0.09372362157827392
max,context,peak,3,1,140,0.3898358954451605,0.2609241185718028,0.265718411127142,0.2587710467655646
max,context,peak,3,2,140,0.5129303951998427,0.24543587672961864,0.2863613947342736,0.3772657398767967
