pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.4074537617464942,0.2910295928865372,0.28939687124110464,0.25641244968803323
mean,select_mode,topk,3,1,140,0.3285077036466119,0.2999540220202952,0.2674943744086702,0.2010232101689369
mean,select_mode,threshold,3,1,140,0.5985386139227253,0.21440813946863163,0.26586813751271865,0.5166212630182134
mean,top_k,topk,1,1,140,0.13943808817033654,0.261566895826097,0.15866748529908764,0.09287697574038146
mean,top_k,topk,2,1,140,0.2276445183507373,0.27882124223107235,0.21540147202989285,0.14731014368245093
mean,top_k,topk,3,1,140,0.3285077036466119,0.2999540220202952,0.2674943744086702,0.2010232101689369
mean,top_k,topk,5,1,140,0.4604481135820194,0.29333631662277326,0.3079249307696643,0.2989947361692994
mean,context,peak,3,0,140,0.1557052562932729,0.30108118330647704,0.17681100952168838,0.0937715375976456
mean,context,peak,3,1,140,0.4074537617464942,0.2910295928865372,0.28939687124110464,0.25641244968803323
mean,context,peak,3,2,140,0.5518873767983239,0.2809843938948806,0.3188555118194552,0.3718405154633897
max,select_mode,peak,3,1,140,0.39627350128293914,0.3013546508162626,0.29648876842148725,0.2573044673580812
max,select_mode,topk,3,1,140,0.34420701166404805,0.30588352525953827,0.274379407522657,0.21021492414654158
max,select_mode,threshold,3,1,140,0.6840882765628329,0.19977734185372245,0.271151401368297,0.6224303441316147
max,top_k,topk,1,1,140,0.1565509944320834,0.3046555801813525,0.18263014901665686,0.0928330696894859
max,top_k,topk,2,1,140,0.25248010089161627,0.3067426965958046,0.23744532398080948,0.15177716506818542
max,top_k,topk,3,1,140,0.34420701166404805,0.30588352525953827,0.274379407522657,0.21021492414654158
max,top_k,topk,5,1,140,0.47786769317670325,0.30229150929729576,0.3160064311436568,0.3059861850176586
max,context,peak,3,0,140,0.16182991639501537,0.3217650937082371,0.18913503199734538,0.09379851212650454
max,context,peak,3,1,140,0.39627350128293914,0.3013546508162626,0.29648876842148725,0.2573044673580812
max,context,peak,3,2,140,0.5476041037565216,0.29157884287135,0.33025421940677874,0.3752049701330121
