k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.20788237562096526,0.09375230956532664,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.30698860146171025,0.14555912776294233,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.36432612322083346,0.18659694304169594,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.4231175471041195,0.2290137718514274,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.46686636155579525,0.26399318586592946,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.5156903973102738,0.2972771918223644,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.6011473549533498,0.3689264376612916,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6670703702861912,0.440113999860635,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7242692993998563,0.5094590412836627,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.812304177917783,0.6326024673079397,0.8855239648500733,0.8775517831364841,1.0,1.0
