k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.06005675220508503,0.09326411034045508,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.09509020052202026,0.132542220596284,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.14719336652388446,0.18410966870455142,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.18193397106860348,0.2372768811037183,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.2188940933893687,0.28013661410573343,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.25899648045202,0.317661572734677,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.3651825381482955,0.3995414948818735,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.47606114559781826,0.48353269961029943,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.6061192102353963,0.5635520991269478,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.7651604766479365,0.6957745824622685,0.8855239648500733,0.8775517831364841,1.0,1.0
