pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.3477036585908882,0.27300807741021565,0.2627333317758785,0.24759915517177308
mean,select_mode,topk,3,1,140,0.24655567933824193,0.255300379290108,0.21315107130491134,0.19606357075710587
mean,select_mode,threshold,3,1,140,0.6931579442370638,0.19739415750876152,0.2698634970660389,0.5988635139358343
mean,top_k,topk,1,1,140,0.11849247531103063,0.2539268873449079,0.14324273687019137,0.09361422001200927
mean,top_k,topk,2,1,140,0.1761748039551468,0.2477573460001188,0.1777049307390419,0.14806857293310363
mean,top_k,topk,3,1,140,0.24655567933824193,0.255300379290108,0.21315107130491134,0.19606357075710587
mean,top_k,topk,5,1,140,0.38023010868039514,0.27211684719874096,0.2711382839871473,0.28535097311795377
mean,context,peak,3,0,140,0.13123248999967166,0.28003194027341066,0.15902539606864063,0.09377081576706053
mean,context,peak,3,1,140,0.3477036585908882,0.27300807741021565,0.2627333317758785,0.24759915517177308
mean,context,peak,3,2,140,0.462399572529106,0.26728532504235736,0.2938848987138697,0.3456045993984287
max,select_mode,peak,3,1,140,0.3811203698294816,0.28763640745647145,0.2820538153637946,0.24829815433304725
max,select_mode,topk,3,1,140,0.31296753408673944,0.30204204299602366,0.25904689883084914,0.1947435667924011
max,select_mode,threshold,3,1,140,0.7828096106563627,0.20735301727250055,0.2890058034449121,0.6888228772057382
max,top_k,topk,1,1,140,0.15598994858278278,0.30929645797371264,0.18042202273335525,0.09358336050639049
max,top_k,topk,2,1,140,0.22840942076666723,0.3038067281230478,0.22352150522069392,0.14832042220029906
max,top_k,topk,3,1,140,0.31296753408673944,0.30204204299602366,0.25904689883084914,0.1947435667924011
max,top_k,topk,5,1,140,0.41567877300695133,0.28232419596873887,0.28607667409226184,0.2888665064058929
max,context,peak,3,0,140,0.14830606029884552,0.2969380138553591,0.17557969356813455,0.093880085386636
max,context,peak,3,1,140,0.3811203698294816,0.28763640745647145,0.2820538153637946,0.24829815433304725
max,context,peak,3,2,140,0.4670376058917855,0.2724010550754854,0.2986202050290146,0.34134823870537306
