k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.10559322359317543,0.09307834793467393,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.17384151348065022,0.1507263378334181,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.24641097283453064,0.20988603563741798,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.31750691940853465,0.25815503920344246,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.38540972059296236,0.3085486492226053,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.4488079234031296,0.35408460293544725,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5657560642521304,0.4415199968725576,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.640604944107079,0.5122530735163497,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.707244462452346,0.5857712209176179,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8233164081372507,0.72095150788708,0.8855239648500733,0.8775517831364841,1.0,1.0
