k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.1405523151495386,0.09306909312315993,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.22105322798038973,0.14730890099959193,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.3192678163901048,0.2033040209513198,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.38805055761094853,0.2531021422580403,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.45363974213278685,0.2961390002515183,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.5115050881696062,0.339450662585249,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.6075066085657314,0.42534360080225214,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6717805727331572,0.4949760379624824,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7503914741529404,0.5585585772634589,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8413621526981814,0.6835508684851208,0.8855239648500733,0.8775517831364841,1.0,1.0
