k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.09022104078832621,0.04687220030769249,0.048178695226082834,0.04629242001285959,0.0008405303874840669,0.03161407231315907
2,0.1549760465309166,0.07474200537928244,0.09159875991296916,0.09142639998806164,0.005308991716393295,0.06253028389714628
3,0.19691951450589862,0.10262920197722847,0.13222961346371084,0.13494253263450925,0.06170113607449979,0.10947506984283037
4,0.26156161284039947,0.12890449383780503,0.17826652179467725,0.17687381277043634,0.09704300891368577,0.1562974934772657
5,0.30187126734568787,0.15234595267668455,0.2186965814370634,0.21709062765803558,0.14286574373056538,0.20320431334676065
6,0.3407423030078869,0.1732199031490909,0.26060471408548797,0.25727447362280814,0.2620863415951769,0.2498307081693496
8,0.39057793010026703,0.22057290990222528,0.34162134418739176,0.3319701677979703,0.34922897746318055,0.3437526632548067
10,0.44565213941809534,0.26257167150281974,0.4119427886494137,0.40109280497706873,0.4127327938187485,0.43748472371851804
12,0.5014003734388571,0.30284031586854365,0.4714442310863658,0.4655381179849156,0.526661932172671,0.5313001051905177
16,0.5761397209922835,0.37528656295041407,0.5844161200830301,0.5804500931700437,0.7143500539254624,0.7186209766428364
