pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.3819419488956824,0.28368911922926604,0.2788573450659872,0.25690258558732687
mean,select_mode,topk,3,1,140,0.2964467647142414,0.2832533126874191,0.250073841464297,0.19950219802090943
mean,select_mode,threshold,3,1,140,0.5923801621842878,0.2111719726930313,0.26132908095315954,0.517503321007511
mean,top_k,topk,1,1,140,0.15140322240353585,0.27337618294907257,0.16834049700816758,0.09285622129682754
mean,top_k,topk,2,1,140,0.23335295054723743,0.28396211024806256,0.2214364286798273,0.14749788152443724
mean,top_k,topk,3,1,140,0.2964467647142414,0.2832533126874191,0.250073841464297,0.19950219802090943
mean,top_k,topk,5,1,140,0.4382460787345819,0.2854489386073617,0.2990632381454034,0.30417398778258725
mean,context,peak,3,0,140,0.14529457907024904,0.2906368564819776,0.16748246755234614,0.09375511987747316
mean,context,peak,3,1,140,0.3819419488956824,0.28368911922926604,0.2788573450659872,0.25690258558732687
mean,context,peak,3,2,140,0.5399134045712686,0.2788061575552559,0.317119844727822,0.3764563341498344
max,select_mode,peak,3,1,140,0.39075314969286434,0.29493895350264177,0.2927695154831152,0.25859686756258515
max,select_mode,topk,3,1,140,0.32919263600621645,0.2874822687062973,0.2611733648252165,0.2162442591667171
max,select_mode,threshold,3,1,140,0.679029099882739,0.19522428536877787,0.2644063845411808,0.6226529309475884
max,top_k,topk,1,1,140,0.15276694234383145,0.2869909490471876,0.17486600205709724,0.09286374668255244
max,top_k,topk,2,1,140,0.2452641449490508,0.2951658797411559,0.2323422781283716,0.15554409744276051
max,top_k,topk,3,1,140,0.32919263600621645,0.2874822687062973,0.2611733648252165,0.2162442591667171
max,top_k,topk,5,1,140,0.44873740696641934,0.2922415002429816,0.30876415519751305,0.30768715066865837
max,context,peak,3,0,140,0.14686070634159842,0.305981443122926,0.17701043664801358,0.09376681970133782
max,context,peak,3,1,140,0.39075314969286434,0.29493895350264177,0.2927695154831152,0.25859686756258515
max,context,peak,3,2,140,0.5356048774715678,0.28392346166182575,0.3234684907447262,0.37653629873570793
