pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.350772470701278,0.27982005396503246,0.26579551059005135,0.2496947994751555
mean,select_mode,topk,3,1,140,0.23839978750841187,0.2623743676325778,0.21263324365483421,0.18661404694262354
mean,select_mode,threshold,3,1,140,0.69710329101765,0.21521050843490142,0.2866650187394638,0.6220317903412349
mean,top_k,topk,1,1,140,0.114787188243602,0.2598500941838279,0.14006839437914148,0.09373283116396415
mean,top_k,topk,2,1,140,0.1890412904318046,0.26958524191077066,0.19403077027025392,0.14148269003901956
mean,top_k,topk,3,1,140,0.23839978750841187,0.2623743676325778,0.21263324365483421,0.18661404694262354
mean,top_k,topk,5,1,140,0.368164729601228,0.2690552261762203,0.2667195682994789,0.280982081541196
mean,context,peak,3,0,140,0.13757616107601547,0.283635704125476,0.1590182630364493,0.09369369743113592
mean,context,peak,3,1,140,0.350772470701278,0.27982005396503246,0.26579551059005135,0.2496947994751555
mean,context,peak,3,2,140,0.47867096704208983,0.2738382500288732,0.2991234744520344,0.35573445791526687
max,select_mode,peak,3,1,140,0.3508991228995832,0.28055828440901687,0.27086260817033914,0.25107886697991644
max,select_mode,topk,3,1,140,0.24537275047797513,0.26314003159378335,0.21933271254017386,0.19244780069628936
max,select_mode,threshold,3,1,140,0.7642255840548491,0.22059428982695442,0.3000955367103167,0.6745113545197424
max,top_k,topk,1,1,140,0.1239854437492994,0.26703266547066357,0.14861031200053781,0.09377839230462562
max,top_k,topk,2,1,140,0.18303141493001984,0.2603894352559088,0.18735802575929889,0.14556051424193786
max,top_k,topk,3,1,140,0.24537275047797513,0.26314003159378335,0.21933271254017386,0.19244780069628936
max,top_k,topk,5,1,140,0.38539400556247216,0.2762058279113122,0.28062874733803783,0.2856696075592974
max,context,peak,3,0,140,0.13513331003995127,0.2846718239100153,0.1606443957359193,0.09368750690913072
max,context,peak,3,1,140,0.3508991228995832,0.28055828440901687,0.27086260817033914,0.25107886697991644
max,context,peak,3,2,140,0.4815866249417475,0.2708019371707156,0.30164963388517513,0.3622291467026472
