pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.44219436725498734,0.3583842506593735,0.343830354448184,0.24282296470538936
mean,select_mode,topk,3,1,140,0.36432612322083346,0.3825011190844627,0.32217087764165253,0.18659694304169594
mean,select_mode,threshold,3,1,140,0.6695748025424948,0.22530683226338136,0.2946869250158856,0.5441327611112942
mean,top_k,topk,1,1,140,0.20788237562096526,0.4022163558149699,0.23854142472474882,0.09375230956532664
mean,top_k,topk,2,1,140,0.30698860146171025,0.39658278984612283,0.29978834656467795,0.14555912776294233
mean,top_k,topk,3,1,140,0.36432612322083346,0.3825011190844627,0.32217087764165253,0.18659694304169594
mean,top_k,topk,5,1,140,0.46686636155579525,0.35782608699116397,0.35339808342110146,0.26399318586592946
mean,context,peak,3,0,140,0.16727937445580918,0.3703118812381945,0.20759850266668295,0.09377628195093897
mean,context,peak,3,1,140,0.44219436725498734,0.3583842506593735,0.343830354448184,0.24282296470538936
mean,context,peak,3,2,140,0.5799060783380867,0.34045095179257046,0.37134674457895966,0.3340908200583093
max,select_mode,peak,3,1,140,0.4786310755972385,0.3692149505391791,0.3624887650813387,0.24576881940077078
max,select_mode,topk,3,1,140,0.38445183894118984,0.3959673833060059,0.3381306901096454,0.18923627492888404
max,select_mode,threshold,3,1,140,0.7216107444154224,0.22197306909272627,0.29395098170269685,0.6030555098177554
max,top_k,topk,1,1,140,0.21052536357212248,0.420588101440171,0.24808747249931062,0.09372978643908159
max,top_k,topk,2,1,140,0.29913543143928406,0.396523558601351,0.29716888575085504,0.1462050110006008
max,top_k,topk,3,1,140,0.38445183894118984,0.3959673833060059,0.3381306901096454,0.18923627492888404
max,top_k,topk,5,1,140,0.514976390253838,0.3745048817081859,0.3781994783849186,0.2689945867291401
max,context,peak,3,0,140,0.19102132101875882,0.3853337597629953,0.22697574678646665,0.09372575018460035
max,context,peak,3,1,140,0.4786310755972385,0.3692149505391791,0.3624887650813387,0.24576881940077078
max,context,peak,3,2,140,0.5936215343482937,0.34139117939706076,0.3767669304678767,0.34215345696301924
