k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.1775095022208076,0.09372273328208952,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.26354460550952036,0.15064537258757862,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.34637764976810703,0.19930340828334206,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.3959171466397141,0.23786664374897706,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.4407287984394427,0.27269584027257737,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.5178102265822409,0.31536750258885066,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5894517289912558,0.38248206573414867,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6491466641810354,0.44906316160224424,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.715229350190767,0.5199745447262617,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.79796647148487,0.6468100132183319,0.8855239648500733,0.8775517831364841,1.0,1.0
