pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.373608614716684,0.30543933106640275,0.29112922879973674,0.24926759576569676
mean,select_mode,topk,3,1,140,0.30198650982333586,0.3092113283201043,0.26049377319440603,0.18765062446217207
mean,select_mode,threshold,3,1,140,0.6461833180451348,0.22964167792550186,0.29469013621768797,0.5383874924178204
mean,top_k,topk,1,1,140,0.15126245404514238,0.2991623582787503,0.17185860354370328,0.09370074234583702
mean,top_k,topk,2,1,140,0.23301144858368805,0.3057739947759252,0.22414870409913945,0.1452534514722032
mean,top_k,topk,3,1,140,0.30198650982333586,0.3092113283201043,0.26049377319440603,0.18765062446217207
mean,top_k,topk,5,1,140,0.43184719039535846,0.3106644266293535,0.31336978283811295,0.2856388931775216
mean,context,peak,3,0,140,0.1477323554286267,0.310184684894442,0.17484184844582623,0.09369776438259536
mean,context,peak,3,1,140,0.373608614716684,0.30543933106640275,0.29112922879973674,0.24926759576569676
mean,context,peak,3,2,140,0.5022053419532503,0.29525000319235517,0.3251888953859313,0.3585776372299181
max,select_mode,peak,3,1,140,0.3855998726150095,0.3112415157736041,0.2983657801492627,0.2515434272617771
max,select_mode,topk,3,1,140,0.307104570958902,0.3057576447921734,0.260712582747964,0.1894572646843996
max,select_mode,threshold,3,1,140,0.6965564417497786,0.21969247901537023,0.29502755512277273,0.5864152132171189
max,top_k,topk,1,1,140,0.16879779450539548,0.32129409755195804,0.1907730496496574,0.09369300690794911
max,top_k,topk,2,1,140,0.2447877412504767,0.310936689892984,0.2302828076112911,0.14681273755507784
max,top_k,topk,3,1,140,0.307104570958902,0.3057576447921734,0.260712582747964,0.1894572646843996
max,top_k,topk,5,1,140,0.42920097113949757,0.314002345767786,0.31363245410507273,0.28274328401557025
max,context,peak,3,0,140,0.1522958376945621,0.322756160035872,0.18181541878132257,0.09368177983083445
max,context,peak,3,1,140,0.3855998726150095,0.3112415157736041,0.2983657801492627,0.2515434272617771
max,context,peak,3,2,140,0.5050488973116104,0.29489065859711305,0.32386782011412824,0.35992608493601264
