k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.17877802045419453,0.09313500713054286,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.2374301556364751,0.13443739795391788,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.29976940576719,0.17553734443219668,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.3573903028538479,0.21461566838363336,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.4135312899806138,0.2538548978483842,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.45185089700135034,0.28933870290685826,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5359322756915788,0.35926275873668445,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6286282521661702,0.43000805651455415,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7037914977864054,0.4974425944807779,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.7961805812970794,0.6203914229811733,0.8855239648500733,0.8775517831364841,1.0,1.0
