k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.19267290892775976,0.0932156431660349,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.2957164821541232,0.15161170447818378,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.36934677831371604,0.20053025720108544,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.4291628641294243,0.24855928045980658,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.4727393362979511,0.2934195747963569,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.5054773333529065,0.3344681456763923,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.58020500423488,0.4107874918531668,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6824894861780746,0.48600529524117075,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7246993395992691,0.5522518658994519,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8059524835112469,0.6804317960363573,0.8855239648500733,0.8775517831364841,1.0,1.0
