pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.6987665868865426,0.2665953453772212,0.3379463151012982,0.5017568051038653
mean,select_mode,topk,3,1,140,0.5985636395771111,0.2873187536015608,0.337959355303022,0.4035354801122316
mean,select_mode,threshold,3,1,140,0.0,0.0,0.0,0.0
mean,top_k,topk,1,1,140,0.31928594751974426,0.3151814209623575,0.2772056971435923,0.18702902736571753
mean,top_k,topk,2,1,140,0.48895315997149924,0.29398876043218475,0.31415174755712527,0.3115967787117225
mean,top_k,topk,3,1,140,0.5985636395771111,0.2873187536015608,0.337959355303022,0.4035354801122316
mean,top_k,topk,5,1,140,0.7432033999995392,0.26481301729826134,0.34379466866038105,0.5592803895036135
mean,context,peak,3,0,140,0.3187609895177792,0.30143219280732414,0.25960837377907964,0.18748320727679219
mean,context,peak,3,1,140,0.6987665868865426,0.2665953453772212,0.3379463151012982,0.5017568051038653
mean,context,peak,3,2,140,0.814873493476744,0.24503272750865465,0.33678501850027076,0.6664271034681781
max,select_mode,peak,3,1,140,0.748490901293528,0.28254435808124284,0.35980384316018776,0.5067194843703018
max,select_mode,topk,3,1,140,0.6652478385352162,0.3087898768056883,0.36594721820421083,0.41198071296238337
max,select_mode,threshold,3,1,140,0.0,0.0,0.0,0.0
max,top_k,topk,1,1,140,0.36870559247734186,0.3390836587726241,0.3051274392270077,0.1866411316659057
max,top_k,topk,2,1,140,0.5498345572063719,0.3241302226671787,0.35132514786145685,0.3147338426570622
max,top_k,topk,3,1,140,0.6652478385352162,0.3087898768056883,0.36594721820421083,0.41198071296238337
max,top_k,topk,5,1,140,0.8045584885916042,0.2810353098494429,0.36609826881147745,0.5758002561805666
max,context,peak,3,0,140,0.3346589161007195,0.3096809993981907,0.26854738165941194,0.1874578912572306
max,context,peak,3,1,140,0.748490901293528,0.28254435808124284,0.35980384316018776,0.5067194843703018
max,context,peak,3,2,140,0.8783913542532122,0.25643208322059924,0.3549853097196435,0.683842015729523
