k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.15126245404514238,0.09370074234583702,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.23301144858368805,0.1452534514722032,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.30198650982333586,0.18765062446217207,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.3626976244378301,0.23431288482253493,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.43184719039535846,0.2856388931775216,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.4741053169966179,0.3259912038508179,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5902375984041005,0.4034977886670726,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.6559498215013786,0.47221390680236675,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.719784599290138,0.5405067003609069,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.7979835993206886,0.6607953594740934,0.8855239648500733,0.8775517831364841,1.0,1.0
