pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.4343454851356514,0.31833069018025284,0.3176184369087764,0.2529405830378004
mean,select_mode,topk,3,1,140,0.36934677831371604,0.3316027873937948,0.2970114016771342,0.20053025720108544
mean,select_mode,threshold,3,1,140,0.513632014847478,0.18377329990988375,0.23320917209433045,0.42041963308331465
mean,top_k,topk,1,1,140,0.19267290892775976,0.33930307867644016,0.21271199987111802,0.0932156431660349
mean,top_k,topk,2,1,140,0.2957164821541232,0.3328758291723419,0.26180826595382833,0.15161170447818378
mean,top_k,topk,3,1,140,0.36934677831371604,0.3316027873937948,0.2970114016771342,0.20053025720108544
mean,top_k,topk,5,1,140,0.4727393362979511,0.3134891625880635,0.32573720917898064,0.2934195747963569
mean,context,peak,3,0,140,0.16238586767386837,0.32281750220349203,0.1916396854862724,0.09370477472948861
mean,context,peak,3,1,140,0.4343454851356514,0.31833069018025284,0.3176184369087764,0.2529405830378004
mean,context,peak,3,2,140,0.5392373085849542,0.30040586186903073,0.3348082767007658,0.35477604186390277
max,select_mode,peak,3,1,140,0.4484596977104079,0.338490441129745,0.33061378782087175,0.25454987263247164
max,select_mode,topk,3,1,140,0.40750701745901846,0.34958786923044993,0.3137185744222693,0.2101214363312357
max,select_mode,threshold,3,1,140,0.5813492118051714,0.19864044962167945,0.2522870670810741,0.476029895097007
max,top_k,topk,1,1,140,0.2184997409530867,0.3657699057012519,0.22902875859089492,0.09326715490016231
max,top_k,topk,2,1,140,0.32040795324124927,0.35853833005219027,0.27984624272653574,0.15280781190347784
max,top_k,topk,3,1,140,0.40750701745901846,0.34958786923044993,0.3137185744222693,0.2101214363312357
max,top_k,topk,5,1,140,0.5298546017068598,0.3382668323058307,0.3539949714810777,0.3019201446486569
max,context,peak,3,0,140,0.17345618898032322,0.3481330766880773,0.19989646283457274,0.09372505146593885
max,context,peak,3,1,140,0.4484596977104079,0.338490441129745,0.33061378782087175,0.25454987263247164
max,context,peak,3,2,140,0.5765342506858374,0.31834894732645375,0.3529004334000073,0.363713249720053
