k,ours_recall,ours_compression,random_recall,random_compression,uniform_recall,uniform_compression
1,0.13625008986627044,0.09262615307704371,0.09366049609333614,0.09156105786732256,0.009952420084115083,0.0628746709364517
2,0.2323573212604614,0.14753189747425421,0.17819812716324493,0.1780025754631867,0.023222420161843317,0.12507716661657398
3,0.32030214682954394,0.2033059921540827,0.2617898629219139,0.25883910365461255,0.13946343332789043,0.21886536611923535
4,0.3731732221071381,0.2530634351911983,0.33908305035831104,0.33379953174215077,0.22343419667997605,0.31271446536823455
5,0.4475164232513972,0.3010241152334194,0.40607199695473734,0.40286709678439425,0.31630211537537783,0.40643127896496123
6,0.48749003445214417,0.34207867883744775,0.4791837852938755,0.46707669181468997,0.5010297995782024,0.49999845012534144
8,0.5899976627648075,0.4190964599223558,0.5969487973579649,0.583992665610645,0.6864002494592704,0.6875320739201332
10,0.660834385938323,0.4941626634489103,0.6909228804378389,0.6810438521323371,0.8261531169484478,0.8751035395699187
12,0.7323122642722402,0.5541452652370185,0.7714974234928375,0.761252572376907,1.0,1.0
16,0.8480324654154614,0.6790728419322402,0.8855239648500733,0.8775517831364841,1.0,1.0
