pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.20087376212998617,0.13627181648566022,0.13967225119558466,0.250690825704178
mean,select_mode,topk,3,1,140,0.14719336652388446,0.14807928868980294,0.12374936848463562,0.18410966870455142
mean,select_mode,threshold,3,1,140,0.5596795535792821,0.17509607368629915,0.23005761520418122,0.5557702226110344
mean,top_k,topk,1,1,140,0.06005675220508503,0.12483997930948709,0.07055483723058247,0.09326411034045508
mean,top_k,topk,2,1,140,0.09509020052202026,0.12683550788700557,0.09247002695843182,0.132542220596284
mean,top_k,topk,3,1,140,0.14719336652388446,0.14807928868980294,0.12374936848463562,0.18410966870455142
mean,top_k,topk,5,1,140,0.2188940933893687,0.13354307945644298,0.1427847693276285,0.28013661410573343
mean,context,peak,3,0,140,0.07689607806538612,0.13681507469051532,0.08452076463753619,0.0937716908329514
mean,context,peak,3,1,140,0.20087376212998617,0.13627181648566022,0.13967225119558466,0.250690825704178
mean,context,peak,3,2,140,0.27555873126221486,0.1383277116786567,0.16004863735581581,0.3504302288206904
max,select_mode,peak,3,1,140,0.19127150119930367,0.14279574519491744,0.1411604324417405,0.24911448601118674
max,select_mode,topk,3,1,140,0.14122197559980593,0.13279491360550516,0.11360726018022975,0.1897238398054093
max,select_mode,threshold,3,1,140,0.643937811023604,0.1856753059723034,0.2524008900188704,0.6287623895993752
max,top_k,topk,1,1,140,0.0789775852497332,0.14320627959939491,0.0880157798147611,0.09327258412749449
max,top_k,topk,2,1,140,0.10261315207434493,0.13413027523507923,0.09821271150120663,0.13790194445115264
max,top_k,topk,3,1,140,0.14122197559980593,0.13279491360550516,0.11360726018022975,0.1897238398054093
max,top_k,topk,5,1,140,0.22339372776879293,0.1386165728689792,0.14743401349556712,0.2803538674449444
max,context,peak,3,0,140,0.0728221472291556,0.14521299181589253,0.08383907519540448,0.09373217177797234
max,context,peak,3,1,140,0.19127150119930367,0.14279574519491744,0.1411604324417405,0.24911448601118674
max,context,peak,3,2,140,0.2712815627011902,0.1436101789757189,0.1628681118930603,0.3524519382396042
