pool,ablation,mode,top_k,context,n_videos,mean_recall,mean_precision,mean_f1,mean_compression
mean,select_mode,peak,3,1,140,0.3342285607403919,0.27245477146738273,0.2588196490564609,0.23789722541688405
mean,select_mode,topk,3,1,140,0.26866599691520227,0.2834106939889717,0.23824591021556502,0.18074190023424105
mean,select_mode,threshold,3,1,140,0.8955661290821311,0.20216814158177765,0.2966160169060653,0.8601930641572679
mean,top_k,topk,1,1,140,0.14764709162018022,0.2927215505925826,0.1671165900335983,0.09208919935843513
mean,top_k,topk,2,1,140,0.2147358057383966,0.2964553362498281,0.21458053904395663,0.1401260751485879
mean,top_k,topk,3,1,140,0.26866599691520227,0.2834106939889717,0.23824591021556502,0.18074190023424105
mean,top_k,topk,5,1,140,0.3787559161924762,0.28547205308391677,0.27995325787259207,0.2563841314386049
mean,context,peak,3,0,140,0.1332570055523327,0.27536356773661885,0.15498116248819416,0.09372019002134784
mean,context,peak,3,1,140,0.3342285607403919,0.27245477146738273,0.2588196490564609,0.23789722541688405
mean,context,peak,3,2,140,0.4558936209658257,0.26741304195944193,0.29088376963265106,0.3246896404257761
max,select_mode,peak,3,1,140,0.40769177671527,0.3110958208959708,0.3046571397496463,0.23943570427272728
max,select_mode,topk,3,1,140,0.32496355795649984,0.3200825071699953,0.2737902498351271,0.17803540397628925
max,select_mode,threshold,3,1,140,0.9343478592278066,0.20380167299373123,0.3032889529965725,0.9062282860794235
max,top_k,topk,1,1,140,0.15613757712156726,0.2985939443542274,0.17743857555712678,0.09258222650954205
max,top_k,topk,2,1,140,0.2542516631448711,0.3115665907544031,0.23846665399650324,0.13921429390781523
max,top_k,topk,3,1,140,0.32496355795649984,0.3200825071699953,0.2737902498351271,0.17803540397628925
max,top_k,topk,5,1,140,0.4281612957538847,0.31142055757818826,0.31044153634690436,0.25657953472514006
max,context,peak,3,0,140,0.16663706236191683,0.3271472436785109,0.19466835647701183,0.09371515515031084
max,context,peak,3,1,140,0.40769177671527,0.3110958208959708,0.3046571397496463,0.23943570427272728
max,context,peak,3,2,140,0.5279826697765226,0.2982326034562461,0.3314867644933508,0.325547294618174
